
VERTICE	GRAU
      0	1497
      1	1521
      2	1548
      3	1469
      4	1530
      5	1498
      6	1542
      7	1439
      8	1521
      9	1531
     10	1462
     11	1447
     12	1545
     13	1526
     14	1488
     15	1467
     16	1545
     17	1497
     18	1541
     19	1489
     20	1434
     21	1435
     22	1477
     23	1511
     24	1580
     25	1460
     26	1494
     27	1482
     28	1465
     29	1456
     30	1484
     31	1494
     32	1500
     33	1476
     34	1458
     35	1480
     36	1461
     37	1526
     38	1497
     39	1511
     40	1491
     41	1507
     42	1505
     43	1497
     44	1518
     45	1527
     46	1547
     47	1491
     48	1499
     49	1461
     50	1523
     51	1460
     52	1526
     53	1440
     54	1481
     55	1499
     56	1507
     57	1469
     58	1499
     59	1410
     60	1505
     61	1499
     62	1524
     63	1428
     64	1421
     65	1505
     66	1496
     67	1499
     68	1480
     69	1514
     70	1480
     71	1496
     72	1520
     73	1480
     74	1479
     75	1465
     76	1487
     77	1477
     78	1542
     79	1417
     80	1502
     81	1507
     82	1566
     83	1492
     84	1507
     85	1482
     86	1493
     87	1517
     88	1387
     89	1495
     90	1448
     91	1447
     92	1504
     93	1520
     94	1559
     95	1477
     96	1485
     97	1606
     98	1478
     99	1530
    100	1609
    101	1445
    102	1504
    103	1492
    104	1464
    105	1461
    106	1513
    107	1463
    108	1528
    109	1504
    110	1533
    111	1586
    112	1456
    113	1446
    114	1498
    115	1437
    116	1488
    117	1507
    118	1489
    119	1505
    120	1518
    121	1503
    122	1512
    123	1495
    124	1528
    125	1493
    126	1555
    127	1478
    128	1473
    129	1499
    130	1468
    131	1486
    132	1513
    133	1535
    134	1574
    135	1553
    136	1597
    137	1464
    138	1463
    139	1516
    140	1472
    141	1572
    142	1540
    143	1485
    144	1512
    145	1487
    146	1491
    147	1485
    148	1566
    149	1449
    150	1479
    151	1481
    152	1489
    153	1544
    154	1529
    155	1486
    156	1526
    157	1467
    158	1452
    159	1557
    160	1519
    161	1485
    162	1529
    163	1444
    164	1516
    165	1559
    166	1468
    167	1524
    168	1488
    169	1425
    170	1520
    171	1484
    172	1539
    173	1454
    174	1457
    175	1464
    176	1499
    177	1505
    178	1550
    179	1484
    180	1530
    181	1513
    182	1493
    183	1471
    184	1495
    185	1527
    186	1517
    187	1478
    188	1543
    189	1543
    190	1509
    191	1447
    192	1426
    193	1461
    194	1479
    195	1542
    196	1477
    197	1426
    198	1506
    199	1486
    200	1413
    201	1543
    202	1496
    203	1430
    204	1525
    205	1495
    206	1520
    207	1515
    208	1568
    209	1473
    210	1462
    211	1488
    212	1483
    213	1526
    214	1464
    215	1483
    216	1487
    217	1494
    218	1500
    219	1525
    220	1510
    221	1435
    222	1474
    223	1439
    224	1525
    225	1477
    226	1466
    227	1536
    228	1498
    229	1516
    230	1452
    231	1464
    232	1467
    233	1503
    234	1493
    235	1470
    236	1515
    237	1485
    238	1572
    239	1492
    240	1503
    241	1492
    242	1438
    243	1437
    244	1455
    245	1492
    246	1467
    247	1486
    248	1488
    249	1420
    250	1515
    251	1487
    252	1543
    253	1410
    254	1513
    255	1469
    256	1509
    257	1453
    258	1510
    259	1485
    260	1551
    261	1514
    262	1514
    263	1516
    264	1483
    265	1461
    266	1600
    267	1490
    268	1473
    269	1492
    270	1458
    271	1490
    272	1455
    273	1504
    274	1446
    275	1510
    276	1519
    277	1399
    278	1440
    279	1528
    280	1437
    281	1475
    282	1427
    283	1534
    284	1445
    285	1530
    286	1474
    287	1519
    288	1512
    289	1445
    290	1447
    291	1490
    292	1487
    293	1453
    294	1485
    295	1458
    296	1442
    297	1497
    298	1521
    299	1508
    300	1466
    301	1549
    302	1457
    303	1468
    304	1503
    305	1533
    306	1483
    307	1546
    308	1524
    309	1491
    310	1517
    311	1465
    312	1495
    313	1470
    314	1476
    315	1521
    316	1512
    317	1503
    318	1471
    319	1451
    320	1477
    321	1496
    322	1498
    323	1512
    324	1494
    325	1570
    326	1468
    327	1457
    328	1497
    329	1542
    330	1478
    331	1538
    332	1527
    333	1476
    334	1519
    335	1532
    336	1532
    337	1499
    338	1454
    339	1457
    340	1552
    341	1514
    342	1437
    343	1467
    344	1460
    345	1475
    346	1538
    347	1484
    348	1498
    349	1454
    350	1555
    351	1495
    352	1540
    353	1457
    354	1485
    355	1511
    356	1510
    357	1520
    358	1510
    359	1492
    360	1471
    361	1576
    362	1456
    363	1477
    364	1536
    365	1484
    366	1526
    367	1488
    368	1477
    369	1479
    370	1451
    371	1502
    372	1525
    373	1525
    374	1458
    375	1440
    376	1492
    377	1491
    378	1480
    379	1498
    380	1524
    381	1488
    382	1470
    383	1439
    384	1452
    385	1515
    386	1444
    387	1481
    388	1482
    389	1463
    390	1446
    391	1413
    392	1454
    393	1517
    394	1501
    395	1508
    396	1576
    397	1492
    398	1488
    399	1437
    400	1527
    401	1482
    402	1508
    403	1473
    404	1520
    405	1466
    406	1542
    407	1462
    408	1520
    409	1525
    410	1511
    411	1531
    412	1488
    413	1531
    414	1560
    415	1480
    416	1523
    417	1479
    418	1477
    419	1518
    420	1387
    421	1453
    422	1479
    423	1483
    424	1553
    425	1481
    426	1495
    427	1490
    428	1510
    429	1502
    430	1475
    431	1427
    432	1493
    433	1551
    434	1518
    435	1557
    436	1527
    437	1535
    438	1477
    439	1491
    440	1480
    441	1452
    442	1533
    443	1548
    444	1527
    445	1483
    446	1508
    447	1506
    448	1558
    449	1477
    450	1489
    451	1481
    452	1449
    453	1455
    454	1511
    455	1474
    456	1521
    457	1493
    458	1454
    459	1530
    460	1476
    461	1475
    462	1511
    463	1482
    464	1518
    465	1506
    466	1443
    467	1472
    468	1483
    469	1563
    470	1503
    471	1446
    472	1482
    473	1504
    474	1456
    475	1460
    476	1512
    477	1504
    478	1498
    479	1524
    480	1504
    481	1511
    482	1449
    483	1424
    484	1475
    485	1439
    486	1540
    487	1499
    488	1471
    489	1546
    490	1497
    491	1528
    492	1494
    493	1458
    494	1485
    495	1432
    496	1476
    497	1554
    498	1482
    499	1520
    500	1535
    501	1470
    502	1491
    503	1514
    504	1510
    505	1507
    506	1513
    507	1509
    508	1461
    509	1534
    510	1462
    511	1540
    512	1452
    513	1487
    514	1440
    515	1498
    516	1524
    517	1437
    518	1454
    519	1444
    520	1515
    521	1519
    522	1489
    523	1477
    524	1432
    525	1468
    526	1512
    527	1478
    528	1499
    529	1503
    530	1515
    531	1451
    532	1519
    533	1432
    534	1517
    535	1553
    536	1479
    537	1475
    538	1441
    539	1541
    540	1565
    541	1537
    542	1501
    543	1516
    544	1481
    545	1505
    546	1489
    547	1451
    548	1504
    549	1490
    550	1544
    551	1466
    552	1445
    553	1488
    554	1476
    555	1495
    556	1492
    557	1532
    558	1555
    559	1544
    560	1473
    561	1499
    562	1525
    563	1473
    564	1467
    565	1463
    566	1434
    567	1519
    568	1481
    569	1449
    570	1514
    571	1547
    572	1459
    573	1473
    574	1441
    575	1483
    576	1493
    577	1503
    578	1518
    579	1495
    580	1455
    581	1478
    582	1425
    583	1493
    584	1557
    585	1486
    586	1509
    587	1438
    588	1516
    589	1482
    590	1516
    591	1561
    592	1519
    593	1488
    594	1499
    595	1463
    596	1530
    597	1491
    598	1515
    599	1407
    600	1466
    601	1475
    602	1469
    603	1513
    604	1468
    605	1507
    606	1544
    607	1534
    608	1471
    609	1519
    610	1457
    611	1502
    612	1476
    613	1403
    614	1505
    615	1506
    616	1527
    617	1497
    618	1497
    619	1498
    620	1510
    621	1446
    622	1392
    623	1501
    624	1442
    625	1544
    626	1465
    627	1516
    628	1478
    629	1514
    630	1478
    631	1555
    632	1485
    633	1441
    634	1461
    635	1475
    636	1494
    637	1467
    638	1524
    639	1586
    640	1547
    641	1505
    642	1518
    643	1497
    644	1488
    645	1524
    646	1497
    647	1447
    648	1484
    649	1575
    650	1496
    651	1524
    652	1484
    653	1567
    654	1495
    655	1496
    656	1503
    657	1481
    658	1526
    659	1549
    660	1493
    661	1496
    662	1467
    663	1514
    664	1429
    665	1490
    666	1461
    667	1440
    668	1477
    669	1439
    670	1448
    671	1540
    672	1502
    673	1495
    674	1533
    675	1543
    676	1421
    677	1419
    678	1528
    679	1457
    680	1517
    681	1423
    682	1519
    683	1435
    684	1440
    685	1440
    686	1505
    687	1498
    688	1456
    689	1488
    690	1437
    691	1454
    692	1511
    693	1546
    694	1438
    695	1464
    696	1579
    697	1497
    698	1468
    699	1552
    700	1420
    701	1512
    702	1479
    703	1471
    704	1456
    705	1454
    706	1518
    707	1488
    708	1492
    709	1508
    710	1446
    711	1600
    712	1538
    713	1572
    714	1495
    715	1491
    716	1575
    717	1416
    718	1484
    719	1480
    720	1462
    721	1475
    722	1466
    723	1490
    724	1518
    725	1511
    726	1471
    727	1403
    728	1471
    729	1455
    730	1459
    731	1488
    732	1481
    733	1492
    734	1530
    735	1439
    736	1470
    737	1476
    738	1526
    739	1470
    740	1443
    741	1429
    742	1438
    743	1453
    744	1527
    745	1473
    746	1453
    747	1474
    748	1485
    749	1480
    750	1542
    751	1568
    752	1573
    753	1482
    754	1451
    755	1534
    756	1560
    757	1468
    758	1506
    759	1456
    760	1481
    761	1518
    762	1432
    763	1486
    764	1515
    765	1496
    766	1454
    767	1491
    768	1563
    769	1520
    770	1478
    771	1461
    772	1428
    773	1517
    774	1616
    775	1521
    776	1492
    777	1509
    778	1545
    779	1500
    780	1442
    781	1501
    782	1483
    783	1463
    784	1465
    785	1416
    786	1486
    787	1521
    788	1522
    789	1529
    790	1468
    791	1492
    792	1384
    793	1507
    794	1539
    795	1478
    796	1497
    797	1459
    798	1465
    799	1473
    800	1454
    801	1453
    802	1522
    803	1479
    804	1493
    805	1449
    806	1524
    807	1506
